c1,c2,c3,c4,c5,c6,c7,c8,nrtg
1,1,2,0,0,0,0,1,-0.5769707
0,2,1,1,0,1,0,0,-0.59783554
1,0,2,0,1,0,0,1,-0.6042403
0,1,1,2,0,1,0,0,-0.6195402
0,1,1,1,0,0,2,0,-0.61955905
0,2,0,1,0,0,1,1,-0.63779926
0,0,2,1,1,0,1,0,-0.64818895
0,1,2,1,0,0,1,0,-0.6501876
0,4,0,0,0,0,0,1,-0.68163705
0,0,1,2,0,1,0,1,-0.7148416
0,0,1,1,0,0,2,1,-0.7148601
1,1,0,0,0,1,2,0,-0.7210753
1,0,2,0,0,0,1,1,-0.7480377
0,0,2,1,0,0,1,1,-0.7670727
0,1,0,0,2,1,1,0,-0.77562857
1,0,1,0,0,1,2,0,-0.7783414
0,2,0,2,0,1,0,0,-0.7841332
1,0,0,0,0,4,0,0,-0.788669
0,1,0,2,0,0,0,2,-0.8030536
0,1,1,1,0,1,0,1,-0.8481171
0,1,1,1,0,0,0,2,-0.8606434
1,0,1,0,0,0,3,0,-0.8684597
0,1,2,0,2,0,0,0,-0.86990905
0,1,1,1,1,1,0,0,-0.8760638
0,1,0,2,0,1,1,0,-0.88317657
0,0,0,1,0,1,2,1,-0.9388492
1,3,0,1,0,0,0,0,-0.9414444
0,1,0,0,1,1,1,1,-0.9560833
1,0,0,0,0,3,0,1,-0.9729512
0,0,2,0,2,0,0,1,-0.9742367
0,1,0,1,0,0,2,1,-0.979769
1,0,0,0,2,2,0,0,-0.9802648
0,0,1,1,1,0,2,0,-0.984004
0,3,2,0,0,0,0,0,-0.988093
0,2,0,2,0,0,1,0,-0.99569845
0,0,0,1,0,0,3,1,-1.0252618
0,0,0,2,0,0,1,2,-1.0343007
1,3,0,0,1,0,0,0,-1.040216
1,1,0,0,0,2,0,1,-1.0501359
1,0,0,0,3,0,0,1,-1.0564185
0,0,0,1,3,0,0,1,-1.0751798
0,0,0,2,3,0,0,0,-1.0857929
0,0,0,1,0,0,2,2,-1.0884575
0,0,1,1,0,0,1,2,-1.0918903
1,0,1,0,1,0,2,0,-1.1126902
0,0,1,1,0,0,3,0,-1.1127026
0,0,2,2,0,1,0,0,-1.1279941
0,1,0,1,0,0,1,2,-1.1584666
0,0,3,1,0,0,1,0,-1.1649151
1,0,0,0,0,3,1,0,-1.1940953
0,1,0,0,0,2,1,1,-1.2213712
0,1,1,0,1,0,1,1,-1.2221007
1,1,0,0,0,0,3,0,-1.2231345
0,0,0,0,2,0,1,2,-1.2397852
0,0,3,0,2,0,0,0,-1.2561823
1,0,0,0,1,0,0,3,-1.2698576
0,0,0,1,1,1,2,0,-1.2955556
1,1,0,0,3,0,0,0,-1.3264354
1,4,0,0,0,0,0,0,-1.3313255
1,1,0,0,1,0,2,0,-1.3357575
0,1,0,1,0,1,2,0,-1.3564234
1,0,0,0,0,2,1,1,-1.3783773
0,0,0,1,1,0,3,0,-1.3819684
0,0,0,3,0,1,1,0,-1.4123529
1,1,0,0,1,2,0,0,-1.4155302
0,0,0,0,0,3,1,1,-1.4220217
0,1,0,1,0,0,3,0,-1.4428365
0,0,1,1,1,1,1,0,-1.4429016
1,3,0,0,0,1,0,0,-1.4677677
0,1,4,0,0,0,0,0,-1.4825698
0,2,0,0,1,0,1,1,-1.489728
0,1,3,0,0,0,0,1,-1.532378
0,0,1,3,0,0,1,0,-1.5357757
0,2,0,0,0,2,0,1,-1.5401189
1,0,0,0,0,1,2,1,-1.5406919
0,1,0,1,1,0,2,0,-1.5554593
0,3,0,0,0,0,1,1,-1.5764778
0,1,0,0,2,0,0,2,-1.5893884
1,2,0,0,0,0,2,0,-1.5904493
1,1,0,0,0,3,0,0,-1.6024842
0,0,0,1,3,1,0,0,-1.653996
0,0,1,0,0,2,0,2,-1.6540418
1,0,1,0,0,3,0,0,-1.6597507
1,0,1,0,1,2,0,0,-1.669097
0,1,2,1,0,1,0,0,-1.6757562
1,1,1,0,0,0,2,0,-1.6822746
0,1,1,0,2,1,0,0,-1.6862054
0,0,1,0,2,0,0,2,-1.7425933
0,0,2,0,2,0,1,0,-1.7455969
1,0,0,3,0,0,0,1,-1.7517698
0,0,4,0,0,0,0,1,-1.7546124
1,0,2,0,0,0,0,2,-1.7586186
0,2,0,1,0,0,2,0,-1.7689266
0,0,1,0,2,1,0,1,-1.7689493
0,0,2,1,0,1,0,1,-1.7926412
1,2,0,0,0,2,0,0,-1.7938733
0,0,0,1,4,0,0,0,-1.7957375
1,0,2,0,0,0,2,0,-1.7988753
0,2,0,0,1,1,0,1,-1.8013978
0,0,2,1,0,0,2,0,-1.8329754
0,0,3,0,1,0,0,1,-1.8374832
1,0,1,0,0,2,0,1,-1.844033
0,0,0,1,0,1,3,0,-1.8495672
0,1,0,0,1,0,1,2,-1.8503721
0,1,3,0,1,0,0,0,-1.8591456
1,0,0,0,1,0,2,1,-1.8616691
0,1,0,1,3,0,0,0,-1.8977573
0,0,2,1,1,1,0,0,-1.900425
0,2,0,1,0,1,1,0,-1.9019511
0,1,2,0,1,0,0,1,-1.9089541
0,0,0,1,0,0,4,0,-1.9359801
0,1,1,1,0,1,1,0,-1.9440637
1,0,0,0,0,0,1,3,-1.9593499
1,0,0,0,0,0,0,4,-1.9758141
0,0,0,0,0,1,2,2,-1.9903598
0,0,1,0,1,1,0,2,-1.9904797
1,1,0,0,0,0,0,3,-2.0050452
0,1,1,0,0,1,0,2,-2.0057795
1,1,0,0,0,2,1,0,-2.00791
0,0,1,1,0,1,1,1,-2.0393648
1,0,0,0,0,0,3,1,-2.0427516
1,0,1,0,0,2,1,0,-2.065177
0,1,1,0,0,2,0,1,-2.0951068
0,0,1,1,0,0,0,3,-2.106624
1,1,0,0,0,0,2,1,-2.1199362
0,0,5,0,0,0,0,0,-2.1524553
0,0,2,1,0,0,0,2,-2.1828768
0,0,3,1,0,1,0,0,-2.190484
0,1,3,0,0,0,1,0,-2.198651
0,3,0,0,0,1,0,1,-2.2279642
0,0,4,0,1,0,0,0,-2.2353258
0,1,2,0,0,0,1,1,-2.2484596
0,0,1,2,0,1,1,0,-2.2584383
0,0,1,0,0,3,0,1,-2.2957578
0,0,1,0,1,2,0,1,-2.305104
0,2,0,0,3,0,0,0,-2.3089015
0,0,2,0,1,0,1,1,-2.326898
0,0,1,0,1,0,1,2,-2.3391984
0,1,2,0,1,0,1,0,-2.3485599
